"Content Id","Content Type","Content Title Pluralsight","Content Title Degreed","Path Name","PS Content ID","URL","Summary","Duration Hrs","Date Published","Topics"
"0bb66f40-6fac-49fc-b473-2d018837573c","LAB","Plotting Classic Literature Download Statistics with R","Plotting Classic Literature Download Statistics with R","/code-labs/contents/0bb66f40-6fac-49fc-b473-2d018837573c/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/0bb66f40-6fac-49fc-b473-2d018837573c/learn","","","9/12/2022 8:22:59 PM","Business intelligence,Software frameworks & libraries,Data frameworks & libraries,Tidyverse,R,Data visualization,Data skills,Programming languages,Scripting languages"
"0eeec64c-c3e1-4e4a-b32e-1c2e0cdfa659","LAB","Build a Reading List Application With Vue.js","Build a Reading List Application With Vue.js","/code-labs/contents/0eeec64c-c3e1-4e4a-b32e-1c2e0cdfa659/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/0eeec64c-c3e1-4e4a-b32e-1c2e0cdfa659/learn","In this code lab, you'll follow instructions to build a reading list application with Vue.js 2.x. You'll create multiple components that are connected together to display a list of authors and book titles. Finally , you'll create a form that adds new books to the list. ","","9/12/2022 8:22:59 PM","Software frameworks & libraries,Frontend frameworks & libraries,Vue"
"1c356bb8-d8e0-4f08-b0bf-6cdb3efc3781","LAB","Guided: Introduction to Solidity Development using Hardhat","Guided: Introduction to Solidity Development using Hardhat","/code-labs/contents/1c356bb8-d8e0-4f08-b0bf-6cdb3efc3781/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/1c356bb8-d8e0-4f08-b0bf-6cdb3efc3781/learn","In this hands-on lab, you'll dive deep into Ethereum blockchain development using Hardhat and Solidity. You'll engage with key elements like contracts, variables, functions, and unit testing. Through hands-on exercises, you'll create and test a simple contract, understand how variables are used to store and handle data, learn how to manipulate function visibility, and explore unique features of Solidity variables such as Ethereum address types. This lab offers a solid stepping stone to confidently develop robust and secure smart contracts.","","8/18/2023 9:11:04 PM","Solidity,Web3,Computer architecture,Hardhat,Developer environments,Programming languages,Software,High-level languages,Computer science"
"2f316b4d-4974-4d07-b0bd-2236599136d4","LAB","Add JPA Data to an Existing Spring Boot Blog","Add JPA Data to an Existing Spring Boot Blog","/code-labs/contents/2f316b4d-4974-4d07-b0bd-2236599136d4/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/2f316b4d-4974-4d07-b0bd-2236599136d4/learn","In this code lab, you'll replace static blog data with JPA Entities and Repositories that connect to an in-memory H2 database as well as add new entity relationships. ","","9/12/2022 8:22:59 PM","Spring Boot,Software frameworks & libraries,Utility frameworks & libraries"
"4e6c6e1b-55ec-4cd9-95f3-6fcdfb01a96c","LAB","Guided: Building a Budgeting Application in Vue 3","Guided: Building a Budgeting Application in Vue 3","/code-labs/contents/4e6c6e1b-55ec-4cd9-95f3-6fcdfb01a96c/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/4e6c6e1b-55ec-4cd9-95f3-6fcdfb01a96c/learn","This hands-on lab is designed to help you practice your understanding of core Vue concepts including rendering, data binding, event emissions, and parent-child component interactions. A series of guided steps will give you a walkthrough on how to apply your knowledge of these concepts to build multiple related Vue components and make them interact with each other. By the end of the lab, you will have demonstrated your ability to build a functioning multi-component Vue application.","","6/21/2023 8:42:27 PM","Software frameworks & libraries,Frontend frameworks & libraries,Vue"
"5bf58c02-c54b-47b3-88dd-52c5282b0e10","LAB","Guided: Searching and Sorting in a Java Book Catalog App","Guided: Searching and Sorting in a Java Book Catalog App","/code-labs/contents/5bf58c02-c54b-47b3-88dd-52c5282b0e10/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/5bf58c02-c54b-47b3-88dd-52c5282b0e10/learn","This hands-on lab is designed to help you practice your understanding of fundamental searching and sorting algorithms in Java. A series of guided steps will give you a walkthrough on how to use these sorting and searching algorithms to optimize the time and resources needed to search for and optimize a set of data within a Java environment. By the end of the lab, you will have demonstrated your ability to build a functioning Java book catalog application that uses these algorithms to efficiently manage its data.","","4/26/2023 2:48:14 PM","Software design,Data management,Data skills,Programming languages,Data structure,Software engineering,High-level languages,Java"
"5d61c319-f528-450a-9bbb-19e13c5a65c0","LAB","Build an Average Ratings Calculator with JavaScript","Build an Average Ratings Calculator with JavaScript","/code-labs/contents/5d61c319-f528-450a-9bbb-19e13c5a65c0/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/5d61c319-f528-450a-9bbb-19e13c5a65c0/learn","In this code lab, you'll follow instructions to build a simple Average Ratings Calculator with JavaScript. You'll create a custom function, handle events, and use common JavaScript operators to calculate an average star rating.","","9/12/2022 8:22:59 PM","JavaScript,Programming languages,High-level languages,Scripting languages"
"6a5bf387-4f67-4b8f-93d8-525e445d036a","LAB","Build a Personal Budget Report with Python Collections and Iterables","Build a Personal Budget Report with Python Collections and Iterables","/code-labs/contents/6a5bf387-4f67-4b8f-93d8-525e445d036a/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/6a5bf387-4f67-4b8f-93d8-525e445d036a/learn","In this code lab, you will create different budget reports for your spending data using Python collections, iterables, and iterators. ","","9/12/2022 8:22:59 PM","Python,Programming languages,High-level languages"
"6f4b4260-c69a-4d30-8ff6-0b9d7cf39e87","LAB","Configuring an ASP.NET Core Application for Security","Configuring an ASP.NET Core Application for Security","/code-labs/contents/6f4b4260-c69a-4d30-8ff6-0b9d7cf39e87/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/6f4b4260-c69a-4d30-8ff6-0b9d7cf39e87/learn","","","4/14/2023 12:43:12 AM","Software frameworks & libraries,ASP.NET Core,Backend frameworks & libraries"
"7f73faa1-e9fe-4f6f-8456-f67aaedf89e8","LAB","Build an SVG Library with JavaScript","Build an SVG Library with JavaScript","/code-labs/contents/7f73faa1-e9fe-4f6f-8456-f67aaedf89e8/learn","","https://app.pluralsight.com/sso/larsentoubro?returnUrl=/code-labs/contents/7f73faa1-e9fe-4f6f-8456-f67aaedf89e8/learn","In this code lab, you’ll follow instructions to build a simple SVG Library with JavaScript. You’ll create two classes using the new class declaration in JavaScript. You will then create a simple SVG drawing in an HTML document with the SVG Library.","","9/12/2022 8:22:59 PM","Standards,Standards & protocols,JavaScript,SVG,Programming languages,High-level languages,Scripting languages"
